AVN,Avon,EG
BED,Bedfordshire,EG
BER,Berkshire,EG
BOR,Borders,SL
BUC,Buckinghamshire,EG
CAM,Cambridgeshire,EG
CEN,Central,SL
CHE,Cheshire,EG
CLE,Cleveland,EG
CLW,Clwyd,WA
CNW,Cornwall,EG
COAN,County Antrim,NI
COAR,County Armagh,NI
CODO,County Down,NI
COFE,County Fermanagh,NI
COLO,County Londonderry,NI
COTY,County Tyrone,NI
CUM,Cumbria,EG
DER,Derbyshire,EG
DEV,Devon,EG
DOR,Dorset,EG
DUN,Dumfries & Galloway,SL
DUR,Durham,EG
DYF,Dyfed,WA
EAS,East Sussex,EG
ESS,Essex,EG
FIF,Fife,SL
GLO,Gloucestershire,EG
GRA,Grampian,SL
GTL,Greater London,EG
GTM,Greater Manchester,EG
GWE,Gwent,WA
GWY,Gwynedd County,WA
HAM,Hampshire,EG
HEF,Herefordshire,EG
HER,Hertfordshire,EG
HIG,Highlands & Islands,SL
HUM,Humberside,EG
ISW,Isle of Wight,EG
KEN,Kent,EG
LAN,Lancashire,EG
LEI,Leicestershire,EG
LIN,Lincolnshire,EG
LOT,Lothian,SL
MER,Merseyside,EG
MID,Mid Glamorgan,WA
NOF,Norfolk,EG
NOH,Northamptonshire,EG
NOU,Northumberland,EG
NOY,North Yorkshire,EG
NOT,Nottinghamshire,EG
OXF,Oxfordshire,EG
POW,Powys,WA
RUT,Rutland,EG
SHR,Shropshire,EG
SMT,Somerset,EG
SOG,South Glamorgan,WA
SOY,South Yorkshire,EG
STA,Staffordshire,EG
STR,Strathclyde,SL
SUF,Suffolk,EG
SUR,Surrey,EG
TAY,Tayside,SL
TYN,Tyne & Wear,EG
WAR,Warwickshire,EG
WEG,West Glamorgan,WA
WEM,West Midlands,EG
WES,West Sussex,EG
WEY,West Yorkshire,EG
WIL,Wiltshire,EG
WOR,Worcestershire,EG
