AL,Alabama
AZ,Arizona
AK,Alaska
AR,Arkansas
CA,California
CT,Connecticut
CO,Colorado
DE,Delaware
DC,District of Columbia
FL,Florida
GA,Georgia
HI,Hawaii
ID,Idaho
IL,Illinois
IN,Indiana
IA,Iowa
KS,Kansas
KY,Kentucky
LA,Louisiana
ME,Maine
MA,Massachusetts
MN,Minnesota
MO,Missouri
MD,Maryland
MI,Michigan
MS,Mississippi
MT,Montana
NE,Nebraska
NH,New Hampshire
NM,New Mexico
NC,North Carolina
NV,Nevada
NJ,New Jersey
NY,New York
ND,North Dakota
OH,Ohio
OR,Oregon
OK,Oklahoma
PA,Pennsylvania
RI,Rhode Island
SC,South Carolina
SD,South Dakota
TN,Tennessee
TX,Texas
UT,Utah
VT,Vermont
VA,Virginia
WA,Washington
WV,West Virginia
WI,Wisconsin
WY,Wyoming
AA,All States
